# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -M -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-29 09:44:54
# Current time: 2015-10-29 11:28:20
# Trimming failed blocks... (forwards)
# current_pos  current_status
0x6A311800     *
#      pos        size  status
0x691DD000  0x00000800  +
0x691DD800  0x00000800  -
0x691DE000  0x00000800  +
0x691DE800  0x00000800  -
0x691DF000  0x00000800  +
0x691DF800  0x00000800  -
0x691E0000  0x00010800  +
0x691F0800  0x00000800  -
0x691F1000  0x00000800  +
0x691F1800  0x00000800  -
0x691F2000  0x00000800  +
0x691F2800  0x00000800  -
0x691F3000  0x00000800  +
0x691F3800  0x00000800  -
0x691F4000  0x00000800  +
0x691F4800  0x00000800  -
0x691F5000  0x00000800  +
0x691F5800  0x00000800  -
0x691F6000  0x00000800  +
0x691F6800  0x00000800  -
0x691F7000  0x00000800  +
0x691F7800  0x00000800  -
0x691F8000  0x00050000  +
0x69248000  0x00000800  -
0x69248800  0x00000800  +
0x69249000  0x00000800  -
0x69249800  0x00000800  +
0x6924A000  0x00000800  -
0x6924A800  0x00000800  +
0x6924B000  0x00000800  -
0x6924B800  0x00000800  +
0x6924C000  0x00000800  -
0x6924C800  0x00000800  +
0x6924D000  0x00000800  -
0x6924D800  0x00000800  +
0x6924E000  0x00000800  -
0x6924E800  0x00000800  +
0x6924F000  0x00000800  -
0x6924F800  0x00010800  +
0x69260000  0x00000800  -
0x69260800  0x00000800  +
0x69261000  0x00000800  -
0x69261800  0x00000800  +
0x69262000  0x00000800  -
0x69262800  0x00000800  +
0x69263000  0x00000800  -
0x69263800  0x00000800  +
0x69264000  0x00000800  -
0x69264800  0x00000800  +
0x69265000  0x00000800  -
0x69265800  0x00000800  +
0x69266000  0x00000800  -
0x69266800  0x00000800  +
0x69267000  0x00000800  -
0x69267800  0x00010800  +
0x69278000  0x00000800  -
0x69278800  0x00001800  +
0x6927A000  0x00000800  -
0x6927A800  0x00000800  +
0x6927B000  0x00000800  -
0x6927B800  0x00000800  +
0x6927C000  0x00000800  -
0x6927C800  0x00000800  +
0x6927D000  0x00000800  -
0x6927D800  0x00000800  +
0x6927E000  0x00000800  -
0x6927E800  0x00000800  +
0x6927F000  0x00000800  -
0x6927F800  0x00010800  +
0x69290000  0x00000800  -
0x69290800  0x00000800  +
0x69291000  0x00000800  -
0x69291800  0x00000800  +
0x69292000  0x00000800  -
0x69292800  0x00000800  +
0x69293000  0x00000800  -
0x69293800  0x00000800  +
0x69294000  0x00000800  -
0x69294800  0x00000800  +
0x69295000  0x00000800  -
0x69295800  0x00000800  +
0x69296000  0x00000800  -
0x69296800  0x00000800  +
0x69297000  0x00000800  -
0x69297800  0x00010800  +
0x692A8000  0x00000800  -
0x692A8800  0x00000800  +
0x692A9000  0x00000800  -
0x692A9800  0x00000800  +
0x692AA000  0x00000800  -
0x692AA800  0x00000800  +
0x692AB000  0x00000800  -
0x692AB800  0x00000800  +
0x692AC000  0x00000800  -
0x692AC800  0x00000800  +
0x692AD000  0x00000800  -
0x692AD800  0x00000800  +
0x692AE000  0x00000800  -
0x692AE800  0x00000800  +
0x692AF000  0x00000800  -
0x692AF800  0x00010800  +
0x692C0000  0x00000800  -
0x692C0800  0x00000800  +
0x692C1000  0x00000800  -
0x692C1800  0x00000800  +
0x692C2000  0x00000800  -
0x692C2800  0x00000800  +
0x692C3000  0x00000800  -
0x692C3800  0x00000800  +
0x692C4000  0x00000800  -
