# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-15 10:34:38
# Current time: 2015-10-15 11:43:51
# Scraping failed blocks... (forwards)
# current_pos  current_status
0xEAFDD000     /
#      pos        size  status
0x68059000  0x00000800  -
0x68059800  0x00000800  +
0x6805A000  0x00000800  -
0x6805A800  0x00000800  +
0x6805B000  0x00000800  -
0x6805B800  0x00000800  +
0x6805C000  0x00000800  -
0x6805C800  0x00000800  +
0x6805D000  0x00000800  -
0x6805D800  0x00000800  +
0x6805E000  0x00000800  -
0x6805E800  0x00000800  +
0x6805F000  0x00000800  -
0x6805F800  0x00000800  +
0x68060000  0x00000800  -
0x68060800  0x00000800  +
0x68061000  0x00000800  -
0x68061800  0x00000800  +
0x68062000  0x00000800  -
0x68062800  0x00005800  +
0x68068000  0x00008000  -
0x68070000  0x00000800  +
0x68070800  0x00000800  -
0x68071000  0x00000800  +
0x68071800  0x00000800  -
0x68072000  0x00000800  +
0x68072800  0x00000800  -
0x68073000  0x00000800  +
0x68073800  0x00000800  -
0x68074000  0x00000800  +
0x68074800  0x00000800  -
0x68075000  0x00000800  +
0x68075800  0x00000800  -
0x68076000  0x00000800  +
0x68076800  0x00000800  -
0x68077000  0x00000800  +
0x68077800  0x00000800  -
0x68078000  0x00000800  +
0x68078800  0x00000800  -
0x68079000  0x00000800  +
0x68079800  0x00000800  -
0x6807A000  0x00000800  +
0x6807A800  0x00000800  -
0x6807B000  0x00000800  +
0x6807B800  0x00000800  -
0x6807C000  0x00000800  +
0x6807C800  0x00000800  -
0x6807D000  0x00000800  +
0x6807D800  0x00000800  -
0x6807E000  0x00000800  +
0x6807E800  0x00000800  -
0x6807F000  0x00000800  +
0x6807F800  0x00008800  -
0x68088000  0x00000800  +
0x68088800  0x00000800  -
0x68089000  0x00000800  +
0x68089800  0x00000800  -
0x6808A000  0x00000800  +
0x6808A800  0x00000800  -
0x6808B000  0x00000800  +
0x6808B800  0x00000800  -
0x6808C000  0x00000800  +
0x6808C800  0x00000800  -
0x6808D000  0x00000800  +
0x6808D800  0x00000800  -
0x6808E000  0x00000800  +
0x6808E800  0x00000800  -
0x6808F000  0x00000800  +
0x6808F800  0x00000800  -
0x68090000  0x00000800  +
0x68090800  0x00000800  -
0x68091000  0x00000800  +
0x68091800  0x00000800  -
0x68092000  0x00000800  +
0x68092800  0x00000800  -
0x68093000  0x00000800  +
0x68093800  0x00000800  -
0x68094000  0x00000800  +
0x68094800  0x00000800  -
0x68095000  0x00000800  +
0x68095800  0x00000800  -
0x68096000  0x00000800  +
0x68096800  0x00000800  -
0x68097000  0x00000800  +
0x68097800  0x00008800  -
0x680A0000  0x00010000  +
0x680B0000  0x00008000  -
0x680B8000  0x00000800  +
0x680B8800  0x00000800  -
0x680B9000  0x00000800  +
0x680B9800  0x00000800  -
0x680BA000  0x00000800  +
0x680BA800  0x00000800  -
0x680BB000  0x00005000  +
0x680C0000  0x00008000  -
0x680C8000  0x00010000  +
0x680D8000  0x00008000  -
0x680E0000  0x00000800  +
0x680E0800  0x00000800  -
0x680E1000  0x00000800  +
0x680E1800  0x00000800  -
0x680E2000  0x00000800  +
0x680E2800  0x00000800  -
0x680E3000  0x00000800  +
0x680E3800  0x00000800  -
0x680E4000  0x00000800  +
0x680E4800  0x00000800  -
0x680E5000  0x00000800  +
0x680E5800  0x00000800  -
0x680E6000  0x00000800  +
0x680E6800  0x00000800  -
0x680E7000  0x00000800  +
0x680E7800  0x00000800  -
0x680E8000  0x00000800  +
0x680E8800  0x00000800  -
0x680E9000  0x00000800  +
0x680E9800  0x00000800  -
0x680EA000  0x00000800  +
0x680EA800  0x00000800  -
0x680EB000  0x00000800  +
0x680EB800  0x00000800  -
0x680EC000  0x00000800  +
0x680EC800  0x00000800  -
0x680ED000  0x00000800  +
0x680ED800  0x00000800  -
0x680EE000  0x00000800  +
0x680EE800  0x00000800  -
0x680EF000  0x00000800  +
0x680EF800  0x00008800  -
0x680F8000  0x00000800  +
0x680F8800  0x00000800  -
0x680F9000  0x00000800  +
0x680F9800  0x00000800  -
0x680FA000  0x00000800  +
0x680FA800  0x00000800  -
0x680FB000  0x00000800  +
0x680FB800  0x00000800  -
0x680FC000  0x00000800  +
0x680FC800  0x00000800  -
0x680FD000  0x00000800  +
0x680FD800  0x00000800  -
0x680FE000  0x00000800  +
0x680FE800  0x00000800  -
0x680FF000  0x00000800  +
0x680FF800  0x00000800  -
0x68100000  0x00008000  +
0x68108000  0x00008000  -
0x68110000  0x00000800  +
0x68110800  0x00000800  -
0x68111000  0x00000800  +
0x68111800  0x00000800  -
0x68112000  0x00000800  +
0x68112800  0x00000800  -
0x68113000  0x00000800  +
0x68113800  0x00000800  -
0x68114000  0x00000800  +
0x68114800  0x00000800  -
0x68115000  0x00000800  +
0x68115800  0x00000800  -
0x68116000  0x00000800  +
0x68116800  0x00000800  -
0x68117000  0x00000800  +
0x68117800  0x00000800  -
0x68118000  0x00000800  +
0x68118800  0x00000800  -
0x68119000  0x00000800  +
0x68119800  0x00000800  -
0x6811A000  0x00000800  +
0x6811A800  0x00000800  -
0x6811B000  0x00000800  +
0x6811B800  0x00000800  -
0x6811C000  0x00000800  +
0x6811C800  0x00000800  -
0x6811D000  0x00000800  +
0x6811D800  0x00000800  -
0x6811E000  0x00002000  +
0x68120000  0x00008000  -
0x68128000  0x00008000  +
0x68130000  0x00000800  -
0x68130800  0x00000800  +
0x68131000  0x00000800  -
0x68131800  0x00000800  +
0x68132000  0x00000800  -
0x68132800  0x00000800  +
0x68133000  0x00000800  -
0x68133800  0x00000800  +
0x68134000  0x00000800  -
0x68134800  0x00000800  +
0x68135000  0x00000800  -
0x68135800  0x00000800  +
0x68136000  0x00000800  -
0x68136800  0x00000800  +
0x68137000  0x00000800  -
0x68137800  0x00000800  +
0x68138000  0x00008800  -
0x68140800  0x00000800  +
0x68141000  0x00000800  -
